name,url,coords
"Cross Keys, Dagenham","https://en.wikipedia.org/wiki/Cross_Keys,_Dagenham",51.539958°N 0.161609°E
"Eastbrook, Dagenham","https://en.wikipedia.org/wiki/Eastbrook,_Dagenham",51.5510°N 0.1632°E
"Mitre Inn, Chipping Barnet","https://en.wikipedia.org/wiki/Mitre_Inn,_Chipping_Barnet",51.6529639°N 0.201417°W
"The Red Lion, Chipping Barnet","https://en.wikipedia.org/wiki/The_Red_Lion,_Chipping_Barnet",51.65245°N 0.1990°W
"Rising Sun, Mill Hill","https://en.wikipedia.org/wiki/Rising_Sun,_Mill_Hill",51.627080°N 0.24182404°W
Spaniards Inn,https://en.wikipedia.org/wiki/Spaniards_Inn,51.57°N 0.174°W
"The Tally Ho, Finchley","https://en.wikipedia.org/wiki/The_Tally_Ho,_Finchley",51.6141°N 0.1765°W
"Black Prince, Bexley","https://en.wikipedia.org/wiki/Black_Prince,_Bexley",51.44639°N 0.15444°E
"King's Head, Bexley","https://en.wikipedia.org/wiki/King%27s_Head,_Bexley",51.441863°N 0.149894°E
"Royal Oak, Bexleyheath","https://en.wikipedia.org/wiki/Royal_Oak,_Bexleyheath",51.452534°N 0.127912°E
"Windermere, South Kenton","https://en.wikipedia.org/wiki/Windermere,_South_Kenton",51.5705°N 0.3078°W
"The Bull, Chislehurst","https://en.wikipedia.org/wiki/The_Bull,_Chislehurst",51.403379°N 0.118484°E
The Daylight Inn,https://en.wikipedia.org/wiki/The_Daylight_Inn,51.3893°N 0.0751°E
"Kings Arms, Leaves Green","https://en.wikipedia.org/wiki/Kings_Arms,_Leaves_Green",51.335238°N 0.0296755°E
"Old Jail, Biggin Hill","https://en.wikipedia.org/wiki/Old_Jail,_Biggin_Hill",51.315222°N 0.0563443°E
"Assembly House, Kentish Town","https://en.wikipedia.org/wiki/Assembly_House,_Kentish_Town",51.550944°N 0.140389°W
The Black Cap,https://en.wikipedia.org/wiki/The_Black_Cap,51.538417°N 0.1424583°W
"The Boot, Cromer Street","https://en.wikipedia.org/wiki/The_Boot,_Cromer_Street",51.52778°N 0.12194°W
"Black Lion, Kilburn","https://en.wikipedia.org/wiki/Black_Lion,_Kilburn",51.543796°N 0.199868°W
Bull & Gate,https://en.wikipedia.org/wiki/Bull_%26_Gate,51.55174°N 0.14156°W
The Camden Head,https://en.wikipedia.org/wiki/The_Camden_Head,51.53730°N 0.14112°W
Cittie of Yorke,https://en.wikipedia.org/wiki/Cittie_of_Yorke,51.518395°N 0.112812°W
"Cross Keys, Covent Garden","https://en.wikipedia.org/wiki/Cross_Keys,_Covent_Garden",51.514474°N 0.12485445°W
"Crown and Anchor, Euston","https://en.wikipedia.org/wiki/Crown_and_Anchor,_Euston",51.526897°N 0.136987°W
"Dublin Castle, Camden","https://en.wikipedia.org/wiki/Dublin_Castle,_Camden",51.53722°N 0.14556°W
The Duke of Hamilton,https://en.wikipedia.org/wiki/The_Duke_of_Hamilton,51.558793°N 0.177554°W
"Duke of York, Bloomsbury","https://en.wikipedia.org/wiki/Duke_of_York,_Bloomsbury",51.522784°N 0.116499°W
"The Duke of York, Fitzrovia","https://en.wikipedia.org/wiki/The_Duke_of_York,_Fitzrovia",51.518694°N 0.135944°W
"The Falcon, Camden","https://en.wikipedia.org/wiki/The_Falcon,_Camden",51.54342204516184°N 0.1393990646932618°W
"The Flask, Hampstead","https://en.wikipedia.org/wiki/The_Flask,_Hampstead",51.5566°N 0.1773°W
Freemasons' Tavern,https://en.wikipedia.org/wiki/Freemasons%27_Tavern,51.5156°N 0.1205°W
"George and Dragon, Fitzrovia","https://en.wikipedia.org/wiki/George_and_Dragon,_Fitzrovia",51.522959°N 0.142092°W
Greene Man,https://en.wikipedia.org/wiki/Greene_Man,51.5237°N 0.1432°W
"The Holly Bush, Hampstead","https://en.wikipedia.org/wiki/The_Holly_Bush,_Hampstead",51.557806°N 0.179306°W
"Jack Straw's Castle, Hampstead","https://en.wikipedia.org/wiki/Jack_Straw%27s_Castle,_Hampstead",51.56266°N 0.18004°W
"The Lamb, Bloomsbury","https://en.wikipedia.org/wiki/The_Lamb,_Bloomsbury",51.522991°N 0.119057°W
The Magdala,https://en.wikipedia.org/wiki/The_Magdala,51.5556°N 0.1656°W
Museum Tavern,https://en.wikipedia.org/wiki/Museum_Tavern,51.5182000°N 0.128194°W
The Old Bull and Bush,https://en.wikipedia.org/wiki/The_Old_Bull_and_Bush,51.5675°N 0.1827°W
"Old Red Lion, Holborn","https://en.wikipedia.org/wiki/Old_Red_Lion,_Holborn",51.51810°N 0.11665°W
Old White Bear,https://en.wikipedia.org/wiki/Old_White_Bear,51.5587°N 0.1756°W
Ye Olde Mitre,https://en.wikipedia.org/wiki/Ye_Olde_Mitre,51.518439°N 0.107425°W
The Perseverance,https://en.wikipedia.org/wiki/The_Perseverance,51.522211°N 0.118900°W
"The Pineapple, Kentish Town","https://en.wikipedia.org/wiki/The_Pineapple,_Kentish_Town",51.552983°N 0.13970090°W
"Prince of Wales, Euston","https://en.wikipedia.org/wiki/Prince_of_Wales,_Euston",51.528079°N 0.138929°W
"Princess Louise, Holborn","https://en.wikipedia.org/wiki/Princess_Louise,_Holborn",51.517361°N 0.121528°W
The Punch Tavern,https://en.wikipedia.org/wiki/The_Punch_Tavern,51.51401°N 0.10496°W
"Queen's Hotel, Primrose Hill","https://en.wikipedia.org/wiki/Queen%27s_Hotel,_Primrose_Hill",51.5405°N 0.1577°W
"Rising Sun, Euston","https://en.wikipedia.org/wiki/Rising_Sun,_Euston",51.528307°N 0.128914°W
"Rising Sun, Fitzrovia","https://en.wikipedia.org/wiki/Rising_Sun,_Fitzrovia",51.519222°N 0.133139°W
"Seven Stars, Holborn","https://en.wikipedia.org/wiki/Seven_Stars,_Holborn",51.514950°N 0.11360747°W
"Ship Tavern, Holborn","https://en.wikipedia.org/wiki/Ship_Tavern,_Holborn",51.51722°N 0.11889°W
Sir Richard Steele (public house),https://en.wikipedia.org/wiki/Sir_Richard_Steele_(public_house),51.54685°N 0.1589°W
The Tipperary,https://en.wikipedia.org/wiki/The_Tipperary,51.51404°N 0.10763°W
Upper Flask,https://en.wikipedia.org/wiki/Upper_Flask,51.5607°N 0.1788°W
"The Washington, Belsize Park","https://en.wikipedia.org/wiki/The_Washington,_Belsize_Park",51.54558°N 0.16283°W
"Wells Tavern, Hampstead","https://en.wikipedia.org/wiki/Wells_Tavern,_Hampstead",51.55861°N 0.17361°W
